periodo,categoria,persistencia,salida,entrada
2010_t3-t4,TFSR,47,53,66.2
2010_t4-t1,Patron,51.8,48.2,51.7
2010_t4-t1,Cuenta_propia,68.8,31.2,30.3
2010_t4-t1,Asalariado,93.5,6.5,6.5
2010_t4-t1,TFSR,31.4,68.6,67.5
2011_t1-t2,Patron,48.5,51.5,49.3
2011_t1-t2,Cuenta_propia,69.4,30.6,29.8
2011_t1-t2,Asalariado,93.8,6.2,6.5
2011_t1-t2,TFSR,30.5,69.5,77.6
2011_t2-t3,Patron,46.7,53.3,42.9
2011_t2-t3,Cuenta_propia,71.6,28.4,32.2
2011_t2-t3,Asalariado,93.9,6.1,6.2
2011_t2-t3,TFSR,48.9,51.1,44.8
2011_t3-t4,Patron,58.8,41.2,46
2011_t3-t4,Cuenta_propia,71,29,28
2011_t3-t4,Asalariado,94.7,5.3,5.2
2011_t3-t4,TFSR,45,55,50.3
2011_t4-t1,Patron,50.4,49.6,46.5
2011_t4-t1,Cuenta_propia,72.9,27.1,28.5
2011_t4-t1,Asalariado,94.2,5.8,5.8
2011_t4-t1,TFSR,20.5,79.5,67.9
2012_t1-t2,Patron,49.9,50.1,49.1
2012_t1-t2,Cuenta_propia,72.1,27.9,28.6
2012_t1-t2,Asalariado,93.9,6.1,6.1
2012_t1-t2,TFSR,21.2,78.8,82.3
2012_t2-t3,Patron,58.1,41.9,39.3
2012_t2-t3,Cuenta_propia,72.1,27.9,26.9
2012_t2-t3,Asalariado,94.8,5.2,5.6
2012_t2-t3,TFSR,20.6,79.4,78.9
2012_t3-t4,Patron,49.1,50.9,53.2
2012_t3-t4,Cuenta_propia,73.2,26.8,30.2
2012_t3-t4,Asalariado,94.3,5.7,4.7
2012_t3-t4,TFSR,33.4,66.6,54.7
2012_t4-t1,Patron,38.9,61.1,49.9
2012_t4-t1,Cuenta_propia,76.3,23.7,26.9
2012_t4-t1,Asalariado,94.7,5.3,5.2
2012_t4-t1,TFSR,45,55,66.9
2013_t1-t2,Patron,50.3,49.7,49.7
2013_t1-t2,Cuenta_propia,72.8,27.2,26
2013_t1-t2,Asalariado,94.4,5.6,6.2
2013_t1-t2,TFSR,32.2,67.8,56.5
2013_t2-t3,Patron,53.4,46.6,40.8
2013_t2-t3,Cuenta_propia,74.9,25.1,25.8
2013_t2-t3,Asalariado,94.8,5.2,5.3
2013_t2-t3,TFSR,28,72,62.4
2013_t3-t4,Patron,47.8,52.2,46.4
2013_t3-t4,Cuenta_propia,72.7,27.3,29.8
2013_t3-t4,Asalariado,93.6,6.4,6
2013_t3-t4,TFSR,46.9,53.1,62.3
2013_t4-t1,Patron,48,52,49.2
2013_t4-t1,Cuenta_propia,72.3,27.7,28.2
2013_t4-t1,Asalariado,94,6,6
2013_t4-t1,TFSR,31.1,68.9,75.8
2014_t1-t2,Patron,49.6,50.4,47.3
2014_t1-t2,Cuenta_propia,75.2,24.8,26.3
2014_t1-t2,Asalariado,95,5,5
2014_t1-t2,TFSR,38.7,61.3,62.6
2014_t2-t3,Patron,43.9,56.1,52.3
2014_t2-t3,Cuenta_propia,77.6,22.4,25.5
2014_t2-t3,Asalariado,94,6,5.4
2014_t2-t3,TFSR,40.8,59.2,60.4
