from,to,weight,id,periodo_base,categoria,periodo
Desocupado_t0,Desocupado_t1,46.3,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2020_t3-t4
Desocupado_t0,Inactivo_t1,19.4,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2020_t3-t4
Desocupado_t0,Inactivo_t1,30.8,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2021_t1-t2
Desocupado_t0,Desocupado_t1,36,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2021_t1-t2
Desocupado_t0,Ocupado_t1,33.2,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2021_t1-t2
Desocupado_t0,Trab_familiar_t1,0,Desocupado_tant - Trab_familiar_tpost,t_anterior,Desocupado,2021_t1-t2
Desocupado_t0,Inactivo_t1,25.5,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2021_t2-t3
Desocupado_t0,Ocupado_t1,43.7,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2021_t2-t3
Desocupado_t0,Desocupado_t1,30.9,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2021_t2-t3
Desocupado_t0,Ocupado_t1,33.9,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2021_t3-t4
Desocupado_t0,Inactivo_t1,31.1,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2021_t3-t4
Desocupado_t0,Desocupado_t1,33.9,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2021_t3-t4
Desocupado_t0,Trab_familiar_t1,1.1,Desocupado_tant - Trab_familiar_tpost,t_anterior,Desocupado,2021_t3-t4
Desocupado_t0,Desocupado_t1,31.8,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2022_t1-t2
Desocupado_t0,Inactivo_t1,24.4,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2022_t1-t2
Desocupado_t0,Ocupado_t1,43.9,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2022_t1-t2
Desocupado_t0,Ocupado_t1,37.2,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2022_t2-t3
Desocupado_t0,Desocupado_t1,28.1,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2022_t2-t3
Desocupado_t0,Inactivo_t1,34.7,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2022_t2-t3
Desocupado_t0,Inactivo_t1,28.6,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2022_t3-t4
Desocupado_t0,Ocupado_t1,44.4,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2022_t3-t4
Desocupado_t0,Desocupado_t1,27,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2022_t3-t4
Desocupado_t0,Desocupado_t1,29.4,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2023_t1-t2
Desocupado_t0,Ocupado_t1,44,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2023_t1-t2
Desocupado_t0,Inactivo_t1,26.5,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2023_t1-t2
Desocupado_t0,Desocupado_t1,26.3,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2023_t2-t3
Desocupado_t0,Inactivo_t1,29.8,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2023_t2-t3
Desocupado_t0,Ocupado_t1,43.7,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2023_t2-t3
Desocupado_t0,Trab_familiar_t1,0.2,Desocupado_tant - Trab_familiar_tpost,t_anterior,Desocupado,2023_t2-t3
Desocupado_t0,Desocupado_t1,25.4,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2023_t3-t4
Desocupado_t0,Ocupado_t1,42,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2023_t3-t4
Desocupado_t0,Inactivo_t1,32.6,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2023_t3-t4
Inactivo_t0,Inactivo_t1,89.1,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2016_t2-t3
Inactivo_t0,Ocupado_t1,7.6,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2016_t2-t3
Inactivo_t0,Desocupado_t1,2.8,Inactivo_tant - Desocupado_tpost,t_anterior,Inactivo,2016_t2-t3
Inactivo_t0,Trab_familiar_t1,0.5,Inactivo_tant - Trab_familiar_tpost,t_anterior,Inactivo,2016_t2-t3
Inactivo_t0,Inactivo_t1,89.5,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2016_t3-t4
Inactivo_t0,Trab_familiar_t1,0.5,Inactivo_tant - Trab_familiar_tpost,t_anterior,Inactivo,2016_t3-t4
Inactivo_t0,Ocupado_t1,7,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2016_t3-t4
Inactivo_t0,Desocupado_t1,3,Inactivo_tant - Desocupado_tpost,t_anterior,Inactivo,2016_t3-t4
Inactivo_t0,Inactivo_t1,88.7,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2017_t1-t2
Inactivo_t0,Ocupado_t1,7.8,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2017_t1-t2
Inactivo_t0,Desocupado_t1,3.1,Inactivo_tant - Desocupado_tpost,t_anterior,Inactivo,2017_t1-t2
Inactivo_t0,Trab_familiar_t1,0.3,Inactivo_tant - Trab_familiar_tpost,t_anterior,Inactivo,2017_t1-t2
Inactivo_t0,Inactivo_t1,88.6,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2017_t2-t3
Inactivo_t0,Ocupado_t1,8.2,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2017_t2-t3
Inactivo_t0,Desocupado_t1,2.9,Inactivo_tant - Desocupado_tpost,t_anterior,Inactivo,2017_t2-t3
Inactivo_t0,Trab_familiar_t1,0.4,Inactivo_tant - Trab_familiar_tpost,t_anterior,Inactivo,2017_t2-t3
Inactivo_t0,Inactivo_t1,89.2,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2017_t3-t4
Inactivo_t0,Ocupado_t1,7.7,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2017_t3-t4
Inactivo_t0,Desocupado_t1,2.8,Inactivo_tant - Desocupado_tpost,t_anterior,Inactivo,2017_t3-t4
Inactivo_t0,Trab_familiar_t1,0.3,Inactivo_tant - Trab_familiar_tpost,t_anterior,Inactivo,2017_t3-t4
Inactivo_t0,Inactivo_t1,88.8,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2018_t1-t2
Inactivo_t0,Ocupado_t1,7.5,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2018_t1-t2
Inactivo_t0,Desocupado_t1,3.5,Inactivo_tant - Desocupado_tpost,t_anterior,Inactivo,2018_t1-t2
Inactivo_t0,Trab_familiar_t1,0.2,Inactivo_tant - Trab_familiar_tpost,t_anterior,Inactivo,2018_t1-t2
Inactivo_t0,Inactivo_t1,89,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2018_t2-t3
Inactivo_t0,Ocupado_t1,7.3,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2018_t2-t3
Inactivo_t0,Desocupado_t1,3.4,Inactivo_tant - Desocupado_tpost,t_anterior,Inactivo,2018_t2-t3
Inactivo_t0,Trab_familiar_t1,0.2,Inactivo_tant - Trab_familiar_tpost,t_anterior,Inactivo,2018_t2-t3
Inactivo_t0,Inactivo_t1,88.9,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2018_t3-t4
Inactivo_t0,Ocupado_t1,7.9,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2018_t3-t4
Inactivo_t0,Desocupado_t1,2.8,Inactivo_tant - Desocupado_tpost,t_anterior,Inactivo,2018_t3-t4
Inactivo_t0,Trab_familiar_t1,0.4,Inactivo_tant - Trab_familiar_tpost,t_anterior,Inactivo,2018_t3-t4
Inactivo_t0,Inactivo_t1,87.4,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2019_t1-t2
Inactivo_t0,Ocupado_t1,8.3,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2019_t1-t2
Inactivo_t0,Desocupado_t1,3.9,Inactivo_tant - Desocupado_tpost,t_anterior,Inactivo,2019_t1-t2
Inactivo_t0,Trab_familiar_t1,0.4,Inactivo_tant - Trab_familiar_tpost,t_anterior,Inactivo,2019_t1-t2
Inactivo_t0,Inactivo_t1,89,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2019_t2-t3
Inactivo_t0,Ocupado_t1,7.5,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2019_t2-t3
Inactivo_t0,Desocupado_t1,3.1,Inactivo_tant - Desocupado_tpost,t_anterior,Inactivo,2019_t2-t3
Inactivo_t0,Trab_familiar_t1,0.4,Inactivo_tant - Trab_familiar_tpost,t_anterior,Inactivo,2019_t2-t3
Inactivo_t0,Inactivo_t1,88.8,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2019_t3-t4
Inactivo_t0,Ocupado_t1,7.8,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2019_t3-t4
Inactivo_t0,Desocupado_t1,3,Inactivo_tant - Desocupado_tpost,t_anterior,Inactivo,2019_t3-t4
Inactivo_t0,Trab_familiar_t1,0.4,Inactivo_tant - Trab_familiar_tpost,t_anterior,Inactivo,2019_t3-t4
Inactivo_t0,Inactivo_t1,93,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2020_t1-t2
Inactivo_t0,Ocupado_t1,4.3,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2020_t1-t2
Inactivo_t0,Desocupado_t1,2.3,Inactivo_tant - Desocupado_tpost,t_anterior,Inactivo,2020_t1-t2
Inactivo_t0,Trab_familiar_t1,0.4,Inactivo_tant - Trab_familiar_tpost,t_anterior,Inactivo,2020_t1-t2
Inactivo_t0,Ocupado_t1,9.7,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2020_t2-t3
Inactivo_t0,Inactivo_t1,86.1,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2020_t2-t3
Inactivo_t0,Desocupado_t1,3.9,Inactivo_tant - Desocupado_tpost,t_anterior,Inactivo,2020_t2-t3
Inactivo_t0,Trab_familiar_t1,0.2,Inactivo_tant - Trab_familiar_tpost,t_anterior,Inactivo,2020_t2-t3
Inactivo_t0,Inactivo_t1,87,Inactivo_tant - Inactivo_tpost,t_anterior,Inactivo,2020_t3-t4
Inactivo_t0,Ocupado_t1,8.9,Inactivo_tant - Ocupado_tpost,t_anterior,Inactivo,2020_t3-t4
