from,to,weight,id,periodo_base,categoria,periodo
Formal_t0,Informal_t1,6,Formal_t0 - Informal_t1,t_anterior,Formal,2008_t4
Informal_t0,Informal_t1,81.1,Informal_t0 - Informal_t1,t_anterior,Informal,2008_t4
Informal_t0,Formal_t1,18.9,Informal_t0 - Formal_t1,t_anterior,Informal,2008_t4
Formal_t0,Formal_t1,94.6,Formal_t0 - Formal_t1,t_anterior,Formal,2009_t3
Formal_t0,Informal_t1,5.4,Formal_t0 - Informal_t1,t_anterior,Formal,2009_t3
Informal_t0,Informal_t1,79.7,Informal_t0 - Informal_t1,t_anterior,Informal,2009_t3
Informal_t0,Formal_t1,20.3,Informal_t0 - Formal_t1,t_anterior,Informal,2009_t3
Formal_t0,Formal_t1,95.8,Formal_t0 - Formal_t1,t_anterior,Formal,2009_t4
Formal_t0,Informal_t1,4.2,Formal_t0 - Informal_t1,t_anterior,Formal,2009_t4
Informal_t0,Informal_t1,74.9,Informal_t0 - Informal_t1,t_anterior,Informal,2009_t4
Informal_t0,Formal_t1,25.1,Informal_t0 - Formal_t1,t_anterior,Informal,2009_t4
Formal_t0,Formal_t1,93.9,Formal_t0 - Formal_t1,t_anterior,Formal,2010_t3
Formal_t0,Informal_t1,6.1,Formal_t0 - Informal_t1,t_anterior,Formal,2010_t3
Informal_t0,Formal_t1,24.3,Informal_t0 - Formal_t1,t_anterior,Informal,2010_t3
Informal_t0,Informal_t1,75.7,Informal_t0 - Informal_t1,t_anterior,Informal,2010_t3
Formal_t0,Formal_t1,93.5,Formal_t0 - Formal_t1,t_anterior,Formal,2010_t4
Formal_t0,Informal_t1,6.5,Formal_t0 - Informal_t1,t_anterior,Formal,2010_t4
Informal_t0,Informal_t1,73,Informal_t0 - Informal_t1,t_anterior,Informal,2010_t4
Informal_t0,Formal_t1,27,Informal_t0 - Formal_t1,t_anterior,Informal,2010_t4
Formal_t0,Formal_t1,94.8,Formal_t0 - Formal_t1,t_anterior,Formal,2011_t1
Formal_t0,Informal_t1,5.2,Formal_t0 - Informal_t1,t_anterior,Formal,2011_t1
Informal_t0,Informal_t1,78.3,Informal_t0 - Informal_t1,t_anterior,Informal,2011_t1
Informal_t0,Formal_t1,21.7,Informal_t0 - Formal_t1,t_anterior,Informal,2011_t1
Formal_t0,Formal_t1,93.5,Formal_t0 - Formal_t1,t_anterior,Formal,2011_t2
Formal_t0,Informal_t1,6.5,Formal_t0 - Informal_t1,t_anterior,Formal,2011_t2
Informal_t0,Formal_t1,19,Informal_t0 - Formal_t1,t_anterior,Informal,2011_t2
Informal_t0,Informal_t1,81,Informal_t0 - Informal_t1,t_anterior,Informal,2011_t2
