periodo,categoria,persistencia,salida,entrada
2021_t3-t4,Informal,83.3,16.7,15.9
2021_t4-t1,Formal,93.5,6.5,5.4
2021_t4-t1,Informal,85.8,14.2,16.7
2022_t1-t2,Formal,93.6,6.4,7.2
2022_t1-t2,Informal,84.4,15.6,13.5
2022_t2-t3,Formal,94.2,5.8,5.6
2022_t2-t3,Informal,88.2,11.8,12.8
2022_t3-t4,Formal,95,5,6.5
2022_t3-t4,Informal,84.3,15.7,12.1
2022_t4-t1,Formal,94.9,5.1,6.7
2022_t4-t1,Informal,83.9,16.1,12.7
2023_t1-t2,Formal,94.8,5.2,7.6
2023_t1-t2,Informal,84.2,15.8,11.5
2023_t2-t3,Formal,93.7,6.3,6.4
2023_t2-t3,Informal,85.9,14.1,14.2
2023_t3-t4,Formal,94.8,5.2,5.9
2023_t3-t4,Informal,84.7,15.3,13.5
2023_t4-t1,Formal,93.7,6.3,5.8
2023_t4-t1,Informal,86.9,13.1,13.8
2024_t1-t2,Formal,94.3,5.7,5.7
2024_t1-t2,Informal,86.5,13.5,13.1
2024_t2-t3,Formal,93.5,6.5,4.8
2024_t2-t3,Informal,89.5,10.5,13.6
2024_t3-t4,Formal,95,5,5.4
2024_t3-t4,Informal,86.1,13.9,13.1
2024_t4-t1,Formal,94.1,5.9,6.4
2024_t4-t1,Informal,85.3,14.7,13.8
2025_t1-t2,Formal,93.8,6.2,6.1
2025_t1-t2,Informal,86.4,13.6,13.6
2025_t2-t3,Formal,94.7,5.3,5.9
2025_t2-t3,Informal,87.2,12.8,11.5
2025_t3-t4,Formal,93.6,6.4,5.5
2025_t3-t4,Informal,87.5,12.5,14.7
